Vrsta aktivnosti,Datum,Favorit,Naslov,Udaljenost,Kalorije,Vrijeme,Prosječni puls,Maksimalni puls,Aerobno TE,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Prosječan tempo,Najbolji tempo,Ukupni uspon,Ukupni silazak,Prosječna dužina koraka,Prosječan omjer vertikalne oscilacije,Prosječna okomita oscilacija,Prosječno vrijeme dodira s tlom,Prosječan balans za VDT,Prosječni tempo prilagođen nagibu,Prosječna kadenca trčanja,Maksimalna kadenca trčanja,Normalized Power® (NP®),Balans lijevo/desno,Training Stress Score®,Maksimalna prosječna snaga (20 min),Prosječna snaga,Maksimalna snaga,Težina,Tok,Ukupno zaveslaja,Prosječan Swolf,Prosječna brzina zaveslaja,Ukupno ponavljanja,Vrijeme ronjenja,Minimalna temperatura,Interval na površini,Dekompresija,Vrijeme najbolje dionice,Broj dionica,Maksimalna temperatura,Vrijeme kretanja,Proteklo vrijeme,Min. nadmorska visina,Maks. nadmorska visina
Trčanje,2023-12-12 18:01:51,false,"Rijeka Trčanje","7.30","469","00:37:40","142","155","3.0","167","222","5:10","4:11","75","104","1.15","8.3","9.4","254","--","5:08","--","--","317","--","0.0","--","310","434","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:34.17","8","0.0","00:37:27","00:42:18","46","133"
Trčanje,2023-12-10 13:13:01,false,"Porec Trčanje","6.81","425","00:30:02","155","171","3.4","170","181","4:25","3:56","59","60","1.33","7.6","10.0","239","--","4:24","--","--","368","--","0.0","--","363","479","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","04:04.17","7","0.0","00:29:55","00:30:35","53","94"
Dvoranski biciklizam,2023-12-09 17:27:22,false,"VO2 Max","15.21","428","00:35:04","144","172","3.1","--","--","26.0","30.9","--","--","0.00","0.0","0.0","0","--","--","88","103","200","--","68.7","181","179","364","0.0","0.0","3125","0","0","0","0:00","0.0","0:00","Ne","01:32.19","10","0.0","00:35:00","00:44:36","--","--"
Trčanje,2023-12-07 17:09:23,false,"Rijeka Trčanje","5.01","325","00:25:54","141","164","2.7","168","178","5:10","4:22","97","106","1.14","8.3","9.4","254","--","5:02","--","--","332","--","0.0","--","321","460","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.84","6","0.0","00:25:52","00:26:27","106","184"
Trčanje,2023-12-06 13:22:45,false,"Rijeka Trčanje","5.00","318","00:25:22","139","165","2.7","166","186","5:04","3:46","81","97","1.18","8.2","9.6","252","--","4:59","--","--","332","--","0.0","--","322","463","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:02.80","6","0.0","00:25:15","00:26:59","49","133"
Dvoranski biciklizam,2023-12-03 13:37:27,false,"Dvoranski biciklizam","12.93","338","00:30:04","126","157","2.4","--","--","25.8","29.8","--","--","0.00","0.0","0.0","0","--","--","86","100","178","--","46.1","178","164","276","0.0","0.0","2580","0","0","0","0:00","0.0","0:00","Ne","00:15.45","4","0.0","00:29:41","00:30:04","--","--"
Dvoranski biciklizam,2023-12-02 16:37:32,false,"Dvoranski biciklizam","12.76","319","00:30:02","120","146","2.1","--","--","25.5","34.6","--","--","0.00","0.0","0.0","0","--","--","77","87","163","--","38.4","161","154","240","0.0","0.0","2318","0","0","0","0:00","0.0","0:00","Ne","06:54.46","3","0.0","00:29:57","00:30:21","--","--"
Terensko trčanje,2023-11-25 10:00:13,false,"Kastelir-Labinci Terensko trčanje","7.35","547","00:37:08","167","176","3.6","153","190","5:03","3:55","162","315","1.27","7.8","9.5","245","--","4:43","--","--","340","--","0.0","--","303","481","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:06.83","8","0.0","00:36:40","00:37:08","4","189"
Trčanje,2023-11-23 15:45:17,false,"Rijeka Trčanje","7.23","460","00:37:17","140","161","2.8","167","174","5:10","4:25","154","165","1.16","8.3","9.6","257","--","4:58","--","--","342","--","0.0","--","329","500","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:17.83","8","0.0","00:37:12","00:38:27","55","206"
Trčanje,2023-11-22 15:35:32,false,"Rijeka - 20min tempo","8.67","526","00:37:36","153","177","3.6","169","232","4:20","3:39","52","88","1.35","7.5","10.1","237","--","4:21","--","--","371","--","0.0","--","362","480","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:12.06","11","0.0","00:37:26","00:46:09","19","117"
Trčanje,2023-11-19 13:36:59,false,"Sveti Petar u Sumi Trčanje","3.43","230","00:18:43","141","152","2.2","165","170","5:28","5:01","37","46","1.11","8.7","9.6","265","--","5:26","--","--","305","--","0.0","--","299","433","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:15.90","4","0.0","00:18:42","00:19:28","325","349"
Trčanje,2023-11-19 12:59:53,false,"Sveti Petar u Sumi Trčanje","6.19","383","00:24:17","172","182","3.6","174","196","3:55","3:01","68","70","1.46","7.0","10.2","223","--","3:54","--","--","414","--","0.0","--","407","526","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:36.26","7","0.0","00:24:14","00:24:17","304","348"
Trčanje,2023-11-18 13:05:20,false,"Porec Trčanje","9.44","579","00:48:04","139","158","2.9","162","173","5:06","4:13","117","127","1.19","8.3","9.8","257","--","5:03","--","--","320","--","0.0","--","315","460","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","02:20.00","10","0.0","00:47:52","00:57:02","39","100"
Trčanje,2023-11-15 15:55:46,false,"Rijeka - progresivni suicid","9.02","598","00:44:25","151","181","3.5","128","206","4:56","2:33","13","19","1.54","6.5","9.6","216","--","4:56","--","--","369","--","0.0","--","295","571","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:28.83","36","0.0","00:36:20","00:51:17","113","122"
Trčanje,2023-11-14 09:42:17,false,"Rijeka - 20min tempo","7.80","483","00:34:58","152","172","3.4","169","176","4:29","3:44","52","75","1.31","7.7","9.9","241","--","4:29","--","--","361","--","0.0","--","352","471","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:32.91","10","0.0","00:34:49","00:40:50","22","116"
Trčanje,2023-11-12 10:59:58,false,"Medulin Trčanje","6.96","420","00:26:56","171","176","3.8","174","188","3:52","3:08","24","26","1.48","6.9","10.2","221","--","3:53","--","--","418","--","0.0","--","412","516","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","03:35.99","7","0.0","00:26:54","00:26:56","4","18"
Trčanje,2023-11-11 12:19:42,false,"Porec Trčanje","8.02","501","00:39:57","139","149","3.0","166","174","4:59","4:31","32","25","1.19","8.1","9.7","253","--","4:58","--","--","323","--","0.0","--","321","409","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:04.81","9","0.0","00:39:51","00:41:16","1","14"
Trčanje,2023-11-08 12:52:37,false,"Rijeka Trčanje","6.34","400","00:31:33","146","170","3.0","166","238","4:59","3:55","175","176","1.19","8.2","9.6","252","--","4:45","--","--","357","--","0.0","--","336","497","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","01:36.23","7","0.0","00:31:19","00:34:35","106","222"
Trčanje,2023-11-07 17:19:04,false,"Rijeka - 5x1km","8.66","520","00:40:09","149","175","3.3","149","208","4:38","3:04","7","7","1.44","7.0","9.6","222","--","4:41","--","--","390","--","0.0","--","331","545","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:04.42","15","0.0","00:38:30","00:50:12","111","114"
Trčanje,2023-11-05 14:38:21,false,"Porec Trčanje","5.01","304","00:23:43","141","160","2.8","169","174","4:44","3:12","43","43","1.24","7.9","9.7","246","--","4:43","--","--","339","--","0.0","--","337","474","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.79","6","0.0","00:23:39","00:24:26","54","93"
Trčanje,2023-11-04 13:40:05,false,"Tar-Vabriga Trčanje","14.01","835","01:11:27","133","168","3.1","163","186","5:06","3:20","111","105","1.18","8.3","9.7","256","--","5:06","--","--","320","--","0.0","--","314","551","0.0","0.0","--","0","0","0","0:00","0.0","0:00","Ne","00:03.70","15","0.0","01:10:59","01:39:04","3","36"
